,Tipo,Descripcion,Habitaciones,Banos,Area,Barrio,UPZ,Valor,Moneda,Precio,Precio_Millon,Zona,Precio_m2
0,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,70,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 360.000.000,$,360000000,360.0,Zona Noroccidental,4.572008510026535
2,Apartamento,Apartamento en venta en Zona Noroccidental,2,1,45,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 239.000.000,$,239000000,239.0,Zona Noroccidental,4.572008510026535
8,Casa,Casa en venta en Zona Noroccidental,5,2,200,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 580.000.000,$,580000000,580.0,Zona Noroccidental,4.572008510026535
9,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,78,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 278.000.000,$,278000000,278.0,Zona Noroccidental,4.572008510026535
10,Apartamento,Apartamento en venta en Zona Noroccidental,2,2,45,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 129.000.000,$,129000000,129.0,Zona Noroccidental,4.572008510026535
11,Apartamento,Apartamento en venta en Zona Noroccidental,32,2,63,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 290.500.000,$,290500000,290.5,Zona Noroccidental,4.572008510026535
12,Casa,Casa en venta en Zona Noroccidental,3,2,86,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 285.000.000,$,285000000,285.0,Zona Noroccidental,4.572008510026535
14,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,78,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 259.000.000,$,259000000,259.0,Zona Noroccidental,4.572008510026535
15,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,88,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 500.000.000,$,500000000,500.0,Zona Noroccidental,4.572008510026535
16,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,75,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 287.000.000,$,287000000,287.0,Zona Noroccidental,4.572008510026535
17,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,78,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 278.000.000,$,278000000,278.0,Zona Noroccidental,4.572008510026535
18,Apartamento,Apartamento en venta en Zona Noroccidental,32,2,63,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 290.500.000,$,290500000,290.5,Zona Noroccidental,4.572008510026535
19,Apartamento,Apartamento en venta en Zona Noroccidental,2,2,45,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 129.000.000,$,129000000,129.0,Zona Noroccidental,4.572008510026535
20,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,78,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 259.000.000,$,259000000,259.0,Zona Noroccidental,4.572008510026535
21,Casa,Casa en venta en Zona Noroccidental,3,2,86,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 285.000.000,$,285000000,285.0,Zona Noroccidental,4.572008510026535
22,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,88,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 500.000.000,$,500000000,500.0,Zona Noroccidental,4.572008510026535
24,Apartamento,Apartamento en venta en Zona Noroccidental,2,2,60,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 225.000.000,$,225000000,225.0,Zona Noroccidental,4.572008510026535
25,Apartamento,Apartamento en venta en Zona Noroccidental,3,1,44,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 148.000.000,$,148000000,148.0,Zona Noroccidental,4.572008510026535
26,Apartamento,Apartamento en venta en Zona Noroccidental,1,1,58,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 300.000.000,$,300000000,300.0,Zona Noroccidental,4.572008510026535
27,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,68,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 323.000.000,$,323000000,323.0,Zona Noroccidental,4.572008510026535
28,Apartamento,Apartamento en venta en Zona Noroccidental,2,1,44,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 176.000.000,$,176000000,176.0,Zona Noroccidental,4.572008510026535
29,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,73,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 318.000.000,$,318000000,318.0,Zona Noroccidental,4.572008510026535
30,Casa,Casa en venta en Zona Noroccidental,4,4,220,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 1.300.000.000,$,1300000000,1300.0,Zona Noroccidental,4.572008510026535
32,Apartamento,Apartamento en venta en Zona Noroccidental,2,2,51,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 245.500.000,$,245500000,245.5,Zona Noroccidental,4.572008510026535
33,Apartamento,Apartamento en venta en Zona Noroccidental,1,1,57,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 350.000.000,$,350000000,350.0,Zona Noroccidental,4.572008510026535
34,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,86,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 330.000.000,$,330000000,330.0,Zona Noroccidental,4.572008510026535
35,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,103,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 499.000.000,$,499000000,499.0,Zona Noroccidental,4.572008510026535
36,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,73,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 318.000.000,$,318000000,318.0,Zona Noroccidental,4.572008510026535
37,Casa,Casa en venta en Zona Noroccidental,4,4,220,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 1.300.000.000,$,1300000000,1300.0,Zona Noroccidental,4.572008510026535
38,Apartamento,Apartamento en venta en Zona Noroccidental,3,3,102,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 600.000.000,$,600000000,600.0,Zona Noroccidental,4.572008510026535
40,Apartamento,Apartamento en venta en Zona Noroccidental,2,1,43,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 153.000.000,$,153000000,153.0,Zona Noroccidental,4.572008510026535
41,Apartamento,Apartamento en venta en Zona Noroccidental,4,3,82,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 335.000.000,$,335000000,335.0,Zona Noroccidental,4.572008510026535
42,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,77,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 399.000.000,$,399000000,399.0,Zona Noroccidental,4.572008510026535
43,Apartamento,Apartamento en venta en Zona Noroccidental,2,2,50,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 234.000.000,$,234000000,234.0,Zona Noroccidental,4.572008510026535
44,Apartamento,Apartamento en venta en Zona Noroccidental,4,2,73,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 199.000.000,$,199000000,199.0,Zona Noroccidental,4.572008510026535
45,Apartamento,Apartamento en venta en Zona Noroccidental,3,3,70,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 355.000.000,$,355000000,355.0,Zona Noroccidental,4.572008510026535
47,Apartamento,Apartamento en venta en Zona Noroccidental,2,1,43,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 161.000.000,$,161000000,161.0,Zona Noroccidental,4.572008510026535
48,Apartamento,Apartamento en venta en Zona Noroccidental,3,3,134,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 720.000.000,$,720000000,720.0,Zona Noroccidental,4.572008510026535
49,Casa,Casa en venta en Zona Noroccidental,4,3,222,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 1.200.000.000,$,1200000000,1200.0,Zona Noroccidental,4.572008510026535
50,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,90,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 490.000.000,$,490000000,490.0,Zona Noroccidental,4.572008510026535
51,Casa,Casa en venta en Zona Noroccidental,3,2,89,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 300.000.000,$,300000000,300.0,Zona Noroccidental,4.572008510026535
52,Apartamento,Apartamento en venta en Zona Noroccidental,3,4,112,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 690.000.000,$,690000000,690.0,Zona Noroccidental,4.572008510026535
53,Casa,Casa en venta en Zona Noroccidental,3,2,89,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 300.000.000,$,300000000,300.0,Zona Noroccidental,4.572008510026535
54,Apartamento,Apartamento en venta en Zona Noroccidental,2,1,36,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 142.000.000,$,142000000,142.0,Zona Noroccidental,4.572008510026535
55,Casa,Casa en venta en Zona Noroccidental,4,3,148,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 850.000.000,$,850000000,850.0,Zona Noroccidental,4.572008510026535
56,Apartamento,"Apartamento 54,11M",1,2,54,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 335.238.800,$,335238800,335.2388,Zona Noroccidental,4.572008510026535
57,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,58,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 311.000.000,$,311000000,311.0,Zona Noroccidental,4.572008510026535
58,Apartamento,Apartamento en venta en Zona Noroccidental,2,2,60,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 387.000.000,$,387000000,387.0,Zona Noroccidental,4.572008510026535
59,Apartamento,Apartamento en venta en Zona Noroccidental,2,3,75,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 390.000.000,$,390000000,390.0,Zona Noroccidental,4.572008510026535
60,Apartamento,Apartamento en venta en Zona Noroccidental,3,1,60,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 167.500.000,$,167500000,167.5,Zona Noroccidental,4.572008510026535
61,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,70,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 287.000.000,$,287000000,287.0,Zona Noroccidental,4.572008510026535
62,Apartamento,Apartamento en venta en Zona Noroccidental,2,1,44,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 144.000.000,$,144000000,144.0,Zona Noroccidental,4.572008510026535
63,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,74,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 278.000.000,$,278000000,278.0,Zona Noroccidental,4.572008510026535
64,Apartamento,Apartamento en venta en Zona Noroccidental,3,3,132,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 750.000.000,$,750000000,750.0,Zona Noroccidental,4.572008510026535
65,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,112,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 398.000.000,$,398000000,398.0,Zona Noroccidental,4.572008510026535
66,Apartamento,Apartamento en venta en Zona Noroccidental,1,1,24,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 173.000.000,$,173000000,173.0,Zona Noroccidental,4.572008510026535
67,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,73,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 318.000.000,$,318000000,318.0,Zona Noroccidental,4.572008510026535
68,Casa,Casa en venta en Zona Noroccidental,4,2,70,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 224.000.000,$,224000000,224.0,Zona Noroccidental,4.572008510026535
69,Apartamento,Apartamento en venta en Zona Noroccidental,2,2,66,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 345.000.000,$,345000000,345.0,Zona Noroccidental,4.572008510026535
70,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,60,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 256.500.000,$,256500000,256.5,Zona Noroccidental,4.572008510026535
71,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,68,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 323.000.000,$,323000000,323.0,Zona Noroccidental,4.572008510026535
72,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,88,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 500.000.000,$,500000000,500.0,Zona Noroccidental,4.572008510026535
73,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,74,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 260.000.000,$,260000000,260.0,Zona Noroccidental,4.572008510026535
74,Apartamento,Apartamento en venta en Zona Noroccidental,1,1,41,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 246.000.000,$,246000000,246.0,Zona Noroccidental,4.572008510026535
75,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,106,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 491.000.000,$,491000000,491.0,Zona Noroccidental,4.572008510026535
76,Apartamento,Apartamento en venta en Zona Noroccidental,3,3,109,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 515.000.000,$,515000000,515.0,Zona Noroccidental,4.572008510026535
77,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,103,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 520.000.000,$,520000000,520.0,Zona Noroccidental,4.572008510026535
78,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,99,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 495.000.000,$,495000000,495.0,Zona Noroccidental,4.572008510026535
79,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,77,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 310.000.000,$,310000000,310.0,Zona Noroccidental,4.572008510026535
80,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,68,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 270.000.000,$,270000000,270.0,Zona Noroccidental,4.572008510026535
81,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,85,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 440.000.000,$,440000000,440.0,Zona Noroccidental,4.572008510026535
82,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,56,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 248.000.000,$,248000000,248.0,Zona Noroccidental,4.572008510026535
83,Casa,Casa en venta en Zona Noroccidental,5,4,245,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 750.000.000,$,750000000,750.0,Zona Noroccidental,4.572008510026535
84,Apartamento,Apartamento en venta en Zona Noroccidental,3,1,52,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 168.000.000,$,168000000,168.0,Zona Noroccidental,4.572008510026535
85,Apartamento,Apartamento en venta en Zona Noroccidental,3,1,52,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 168.000.000,$,168000000,168.0,Zona Noroccidental,4.572008510026535
86,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,60,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 256.500.000,$,256500000,256.5,Zona Noroccidental,4.572008510026535
87,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,74,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 260.000.000,$,260000000,260.0,Zona Noroccidental,4.572008510026535
88,Apartamento,Apartamento en venta en Zona Noroccidental,1,1,41,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 246.000.000,$,246000000,246.0,Zona Noroccidental,4.572008510026535
89,Apartamento,Apartamento en venta en Zona Noroccidental,2,2,66,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 345.000.000,$,345000000,345.0,Zona Noroccidental,4.572008510026535
90,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,68,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 270.000.000,$,270000000,270.0,Zona Noroccidental,4.572008510026535
91,Apartamento,Apartamento en venta en Zona Noroccidental,2,1,36,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 202.000.000,$,202000000,202.0,Zona Noroccidental,4.572008510026535
92,Apartamento,Apartamento en venta en Zona Noroccidental,3,1,47,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 190.000.000,$,190000000,190.0,Zona Noroccidental,4.572008510026535
93,Casa,Casa en venta en Zona Noroccidental,2,1,60,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 163.000.000,$,163000000,163.0,Zona Noroccidental,4.572008510026535
94,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,103,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 530.000.000,$,530000000,530.0,Zona Noroccidental,4.572008510026535
95,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,63,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 298.000.000,$,298000000,298.0,Zona Noroccidental,4.572008510026535
96,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,72,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 420.000.000,$,420000000,420.0,Zona Noroccidental,4.572008510026535
97,Casa,Casa en venta en Zona Noroccidental,4,3,120,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 800.000.000,$,800000000,800.0,Zona Noroccidental,4.572008510026535
98,Apartamento,Apartamento en venta en Zona Noroccidental,3,4,151,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 660.000.000,$,660000000,660.0,Zona Noroccidental,4.572008510026535
99,Apartamento,Apartamento en venta en Zona Noroccidental,3,3,108,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 570.000.000,$,570000000,570.0,Zona Noroccidental,4.572008510026535
100,Apartamento,Apartamento en venta en Zona Noroccidental,3,3,118,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 730.000.000,$,730000000,730.0,Zona Noroccidental,4.572008510026535
101,Apartamento,Apartamento en venta en Zona Noroccidental,2,1,45,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 165.000.000,$,165000000,165.0,Zona Noroccidental,4.572008510026535
102,Apartamento,Apartamento en venta en Zona Noroccidental,3,3,117,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 630.000.000,$,630000000,630.0,Zona Noroccidental,4.572008510026535
103,Apartamento,Apartamento en venta en Zona Noroccidental,2,2,58,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 340.000.000,$,340000000,340.0,Zona Noroccidental,4.572008510026535
104,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,63,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 258.000.000,$,258000000,258.0,Zona Noroccidental,4.572008510026535
106,Apartamento,Apartamento en venta en Zona Noroccidental,2,3,70,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 280.000.000,$,280000000,280.0,Zona Noroccidental,4.572008510026535
107,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,148,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 750.000.000,$,750000000,750.0,Zona Noroccidental,4.572008510026535
108,Apartamento,Apartamento en venta en Zona Noroccidental,3,1,55,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 265.500.000,$,265500000,265.5,Zona Noroccidental,4.572008510026535
109,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,111,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 509.395.301,$,509395301,509.395301,Zona Noroccidental,4.572008510026535
110,Apartamento,Apartamento en venta en Zona Noroccidental,2,1,41,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 300.000.000,$,300000000,300.0,Zona Noroccidental,4.572008510026535
111,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,59,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 160.000.000,$,160000000,160.0,Zona Noroccidental,4.572008510026535
112,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,88,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 495.000.000,$,495000000,495.0,Zona Noroccidental,4.572008510026535
113,Apartamento,Apartamento en venta en Zona Noroccidental,3,3,95,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 580.000.000,$,580000000,580.0,Zona Noroccidental,4.572008510026535
115,Casa,Casa en venta en Zona Noroccidental,4,4,248,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 900.000.000,$,900000000,900.0,Zona Noroccidental,4.572008510026535
116,Apartamento,Apartamento en venta en Zona Noroccidental,5,3,114,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 475.000.000,$,475000000,475.0,Zona Noroccidental,4.572008510026535
117,Apartamento,Apartamento en venta en Zona Noroccidental,2,3,72,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 340.500.000,$,340500000,340.5,Zona Noroccidental,4.572008510026535
118,Apartamento,Apartamento en venta en Zona Noroccidental,1,2,51,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 210.000.000,$,210000000,210.0,Zona Noroccidental,4.572008510026535
119,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,75,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 315.000.000,$,315000000,315.0,Zona Noroccidental,4.572008510026535
120,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,81,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 311.000.000,$,311000000,311.0,Zona Noroccidental,4.572008510026535
121,Apartamento,Apartamento en venta en Zona Noroccidental,2,2,57,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 280.000.000,$,280000000,280.0,Zona Noroccidental,4.572008510026535
122,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,43,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 155.000.000,$,155000000,155.0,Zona Noroccidental,4.572008510026535
125,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,74,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 278.000.000,$,278000000,278.0,Zona Noroccidental,4.572008510026535
126,Apartamento,Apartamento en venta en Zona Noroccidental,2,2,57,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 225.000.000,$,225000000,225.0,Zona Noroccidental,4.572008510026535
127,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,57,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 184.900.000,$,184900000,184.9,Zona Noroccidental,4.572008510026535
128,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,51,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 154.000.000,$,154000000,154.0,Zona Noroccidental,4.572008510026535
130,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,100,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 485.000.000,$,485000000,485.0,Zona Noroccidental,4.572008510026535
131,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,81,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 311.000.000,$,311000000,311.0,Zona Noroccidental,4.572008510026535
132,Apartamento,Apartamento en venta en Zona Noroccidental,3,1,58,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 162.000.000,$,162000000,162.0,Zona Noroccidental,4.572008510026535
133,Apartamento,Apartamento en venta en Zona Noroccidental,3,1,50,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 176.000.000,$,176000000,176.0,Zona Noroccidental,4.572008510026535
134,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,43,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 155.000.000,$,155000000,155.0,Zona Noroccidental,4.572008510026535
137,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,74,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 278.000.000,$,278000000,278.0,Zona Noroccidental,4.572008510026535
138,Apartamento,Apartamento en venta en Zona Noroccidental,2,1,44,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 144.000.000,$,144000000,144.0,Zona Noroccidental,4.572008510026535
139,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,87,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 480.000.000,$,480000000,480.0,Zona Noroccidental,4.572008510026535
141,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,51,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 154.000.000,$,154000000,154.0,Zona Noroccidental,4.572008510026535
142,Apartamento,Apartamento en venta en Zona Noroccidental,2,2,57,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 225.000.000,$,225000000,225.0,Zona Noroccidental,4.572008510026535
143,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,57,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 184.900.000,$,184900000,184.9,Zona Noroccidental,4.572008510026535
144,Apartamento,Apartamento en venta en Zona Noroccidental,2,2,55,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 290.000.000,$,290000000,290.0,Zona Noroccidental,4.572008510026535
145,Apartamento,Apartamento en venta en Zona Noroccidental,3,1,50,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 168.000.000,$,168000000,168.0,Zona Noroccidental,4.572008510026535
146,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,51,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 145.000.000,$,145000000,145.0,Zona Noroccidental,4.572008510026535
147,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,90,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 460.000.000,$,460000000,460.0,Zona Noroccidental,4.572008510026535
148,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,112,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 690.000.000,$,690000000,690.0,Zona Noroccidental,4.572008510026535
149,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,103,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 499.000.000,$,499000000,499.0,Zona Noroccidental,4.572008510026535
150,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,89,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 470.000.000,$,470000000,470.0,Zona Noroccidental,4.572008510026535
151,Apartamento,Apartamento en venta en Zona Noroccidental,3,3,131,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 680.000.000,$,680000000,680.0,Zona Noroccidental,4.572008510026535
153,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,73,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 340.000.000,$,340000000,340.0,Zona Noroccidental,4.572008510026535
154,Apartamento,Apartamento en venta en Zona Noroccidental,1,1,52,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 380.000.000,$,380000000,380.0,Zona Noroccidental,4.572008510026535
